1001001, idea01, WaraiA
1019021, byebye08, WaraiA
1019022, pain05, KusyoAL
1019023, hope03, WaraiC
1019800, hope01, DereA
1019801, see11, DoyaA
1019802, fight06, IkariA
1019803, cry04, KanasiC
1019804, think01, DoyaA
1019805, fight04, WaraiA
1019806, sleep01, JitomeA
1019807, fight01, WaraiA
1019808, soppo10, JitomeA
1019809, guard04, OdorokiA
1019810, advice04, DoyaA
1019811, see01, DereA
1019812, muneate02, IkariA
1019813, koshiate02, DoyaA
1019814, fight01, DoyaA
1019815, think09, WaraiA
1019816, surprise07, OdorokiA
1019817, surprise06, KomariC
1019818, joy01, DereA


1020000, gatts03, DoyaA
1020001, koshiate02, WaraiC
1020002, fight04, IkariA
1020003, udekumi01, IkariC
1020004, tired02, KomariA
1020005, muneate01, IkariA
1020006, tekumi06, WaraiA
1020007, laugh06, WaraiC
1020008, think01, IkariA
1020009, think09, JitomeA
1020010, udekumi02, KusyoAL
1020011, akire06, KomariA
1020012, shy05, KusyoAL
1020013, soppo10, IkariA
1020014, surprise05, KomariC
1020015, joke02, WaraiC
1020016, advice04, WaraiA
1020017, udekumi02, DereA
1020018, akire05, KusyoCL
1020019, peace02, WaraiC
1020020, come04, WaraiA
1020021, think01, DoyaA
1020022, oh05, WaraiC
1020023, koshiate02, DoyaA
1020024, gatts03, DoyaA
1020025, koshiate09, IkariA
1020026, fight06, IkariC
1020027, shock04, KomariA
1020028, shock02, KanasiC
1020029, laugh06, WaraiC
1020030, near05, WaraiA
1020031, swing02, WaraiA
1020032, udekumi02, FutuA
1020033, think09, JitomeA
1020034, think01, WaraiA
1020035, shy05, KusyoAL
1020036, soppo05, IkariA
1020037, guard04, OdorokiA
1020038, surprise05, OdorokiC
1020039, akire05, KusyoCL
1020040, advice02, JitomeA
1020800, good02, WaraiC
1020801, sudachi03, KomariA
1020802, joke02, KusyoAL
1020803, oh11, WaraiC
1020804, joy02, WaraiC
1020805, clap03, WaraiA
1020806, muneate01, KomariC
1020807, udekumi02, FutuA
1020808, cry06, KanasiC
1020809, come04, KomariA
1020810, near02, WaraiC
1020811, shake01, KomariC
1020812, send03, DoyaA
1020813, udekumi02, JitomeA
1020814, think01, DoyaA
1020815, akire06, KusyoCL
1020816, advice04, WaraiC


1021000, good01, WaraiC
1021001, joy06, DoyaA
1021002, ikaku02, IkariA
1021003, angry02, IkariC
1021004, shock06, JitomeA
1021005, soppo07, KanasiA
1021006, fight04, WaraiA
1021007, koshiate02, WaraiC
1021008, think09, IkariA
1021009, shock07, IkariC
1021010, akire02, KusyoCL
1021011, udekumi05, KusyoAL
1021012, shy05, KusyoAL
1021013, surprise10, KomariC
1021014, surprise06, KomariC
1021015, surprise02, OdorokiC
1021016, udekumi05, WaraiA
1021017, near06, FutuA
1021018, akire04, KomariC
1021019, handsup01, WaraiA
1021020, near05, FutuA
1021021, sorry01, WaraiC
1021022, hope03, WaraiC
1021023, good01, WaraiC
1021024, gatts01, DoyaA
1021025, fight07, WaraiA
1021026, angry01, IkariA
1021027, ng04, IkariA
1021028, shock02, KanasiC
1021029, shock05, KusyoCL
1021030, laugh06, WaraiC
1021031, clap05, WaraiC
1021032, udekumi05, FutuA
1021033, koshiate02, WaraiA
1021034, think10, JitomeA
1021035, near06, KomariA
1021036, shy05, KusyoAL
1021037, soppo11, IkariA
1021038, surprise06, OdorokiC
1021039, surprise08, OdorokiC
1021040, akire06, KusyoCL
1021041, shock06, KomariC
1021800, koshiate02, KusyoAL
1021801, koshiate02, WaraiA
1021802, shock07_mirror, IkariC
1021803, koshiate02, IkariA
1021804, think01, WaraiA
1021805, udekumi05, WaraiC
1021806, akire03, IkariA
1021807, tired04, KomariA
1021808, oh06, DoyaA
1021809, tired02, JitomeA
1021810, tired02_mirror, KomariA
1021811, ikaku02, DoyaA
1021812, gatts02, DoyaA
1021813, angry03, KomariC
1021814, surprise05, OdorokiA
1021815, fight06, KomariC
1021816, shock01, KomariC
1021817, near06, IkariA
1021818, hello03, WaraiA
1021819, hope03, IkariA
1021820, gatts02_mirror, DoyaA
1021821, shock06, IkariA
1021822, koshiate02, DoyaA
1021823, think09, JitomeA
1021824, tired02, IkariA
1021825, muneate01, IkariA
1021826, pain01, KomariC
1021827, stretch05, KusyoAL
1021828, udekumi05, IkariA
1021829, shock07, KomariC
1021830, fight04, IkariA
1021831, muneate02, WaraiC
1021832, akire04, WaraiA
1021833, shock01, KomariC
1021834, think01, JitomeA
1021835, akire04, KomariC


1022000, idea02, WaraiA
1022001, hope07, WaraiC
1022002, swing02, IkariA
1022003, joy01, IkariA
1022004, sad02, KomariA
1022005, tekumi01, KanasiC
1022006, laugh03, FutuA
1022007, laugh04, WaraiC
1022008, think03, KomariA
1022009, think09, KomariC
1022010, tekumi04, KusyoAL
1022011, tekumi06, KusyoAL
1022012, tekumi05, DereA
1022013, shy09, KomariC
1022014, surprise01, OdorokiA
1022015, fight11, OdorokiA
1022016, fight09, IkariA
1022017, tekumi02, FutuA
1022018, koshiate02, KomariA
1022019, byebye08, FutuA
1022020, yell01, WaraiA
1022021, bow07, FutuA
1022022, idea01, WaraiC
1022800, think03, FutuA
1022801, hope07_mirror, WaraiC
1022802, tekumi06, WaraiC
1022803, think03_mirror, FutuA
1022804, fight11, WaraiA
1022805, hope01, WaraiC
1022806, muneate03, WaraiA
1022807, fight01, DoyaA
1022808, hope04, FutuA
1022809, tekumi06, WaraiA
1022810, muneate03, FutuA
1022811, hope01, WaraiA
1022812, fight11, WaraiC
1022813, think09, FutuA
1022814, hope04, IkariA
1022815, kuchiate04, WaraiA
1022816, oh07, WaraiA


1023000, koshiate01, WaraiA
1023001, muneate01, DoyaA
1023002, udekumi01, IkariA
1023003, koshiate03, IkariC
1023004, soppo11, KanasiA
1023005, think07, IkariA
1023006, udekumi02, WaraiA
1023007, think05, WaraiC
1023008, think08, KomariA
1023009, pain04, KomariC
1023010, koshiate03, KusyoAL
1023011, shy05, KusyoAL
1023012, tekumi06, DereA
1023013, soppo10, KomariC
1023014, surprise05, OdorokiA
1023015, advice02, FutuA
1023016, pain06, KomariA
1023017, udekumi02, FutuA
1023018, think10, KomariA
1023019, muneate05, FutuA
1023020, koshiate03, FutuA
1023021, hope03, FutuA
1023800, idle01, WaraiA
1023801, think08, WaraiA
1023802, surprise05, KanasiA
1023803, think08, KomariA
1023804, tekumi06, DereA
1023805, soppo11, KanasiA
1023806, think05, WaraiC
1023807, muneate05, WaraiA
1023808, udekumi02, WaraiA
1023809, idle02_mirror, DoyaA
1023810, think07_mirror, IkariA
1023811, surprise05_mirror, OdorokiA
1023812, sudachi04, KanasiA
1023813, idle01_mirror, OdorokiA
1023814, advice02_mirror, WaraiA
1023815, sleep05, KanasiC
1023816, idle01, KomariA
1023817, advice02, WaraiA
1023818, koshiate01, KusyoAL
1023819, udekumi02, KusyoAL
1023820, think08, KusyoAL
1023821, think06, IkariA
1023822, koshiate01, DoyaA


1024000, joy01, WaraiA
1024001, joy05, WaraiC
1024002, fight04, KomariC
1024003, near01, IkariC
1024004, sad02, KanasiA
1024005, shock02, KanasiC
1024006, swing03, DoyaA
1024007, near04, WaraiC
1024008, think03, KomariA
1024009, shock08, KomariC
1024010, shy03, KusyoAL
1024011, laugh02, KusyoAL
1024012, shy03, DereA
1024013, shy01, WaraiC
1024014, guard03, OdorokiA
1024015, surprise06, OdorokiC
1024016, happy03, WaraiC
1024017, gatts06, DoyaA
1024018, swing02, DoyaA
1024019, swing02, FutuA
1024020, swing02, KomariA
1024021, byebye07, WaraiC
1024022, near01, DoyaA
1024023, hope07, WaraiA
1024024, idea01, WaraiA
1024025, joy05, WaraiC
1024026, fight07, WaraiA
1024027, near04, IkariA
1024028, angry02, IkariA
1024029, sad02, KomariA
1024030, tekumi04, KomariA
1024031, joy01, DoyaA
1024032, swing03, WaraiC
1024033, swing02, FutuA
1024034, think03, KomariC
1024035, think11, KomariA
1024036, shy01, KusyoAL
1024037, shy03, KusyoAL
1024038, surprise04, OdorokiA
1024039, surprise06, OdorokiC
1024040, swing01, KomariA
1024041, soppo01, JitomeA
1024800, swing02, KomariA
1024801, sleep02, DereA
1024802, laugh02, DereA
1024803, idle01, WaraiA
1024804, joy05, DoyaA
1024805, joy01, OdorokiA
1024806, near01, WaraiA
1024807, guard03_mirror, OdorokiA
1024808, joy05, WaraiC
1024809, sad02, KanasiA
1024810, shock02, KanasiC
1024811, think03, KomariA
1024812, shock08, KomariC
1024813, shy03, DereA
1024814, sleep02, DereA
1024815, sleep04, KomariA
1024816, gatts06, IkariA
1024817, shy03, DereA


1025000, fight01, WaraiA
1025001, kuchiate04, WaraiC
1025002, muneate01, IkariA
1025003, sad02, IkariA
1025004, tekumi04, KanasiA
1025005, tekumi06, WaraiA
1025006, tired03, WaraiA
1025007, think09, KomariA
1025008, think06, KanasiA
1025009, tekumi03, KusyoAL
1025010, tekumi04, KusyoAL
1025011, tekumi01, KomariA
1025012, soppo12, KomariA
1025013, guard03, OdorokiA
1025014, guard02, KanasiA
1025015, see01, FutuA
1025016, kuchiate04, FutuA
1025017, bow03, FutuA
1025018, come03, FutuA
1025019, hope04, FutuA
1025020, hope03, FutuA
1025800, tekumi01, FutuA
1025801, kuchiate04, WaraiA
1025802, think09, FutuA
1025803, think06, FutuA
1025804, sad02, KanasiA
1025805, hope04, FutuA


1026000, muneate01, KanasiA
1026001, muneate02, WaraiA
1026002, kuchiate04, DereA
1026003, pain06, KomariA
1026004, sleep01, FutuA
1026005, pain06, JitomeA
1026006, bow05, FutuA
1026007, hope03, FutuA
1026800, mot02, FutuA
1026801, idle02, FutuA
1026802, sudachi01, OdorokiA
1026803, sudachi05, KomariA
1026804, sudachi05, WaraiA
1026805, idle02, WaraiA
1026806, muneate01, FutuA
1026807, sudachi04, OdorokiA
1026808, kuchiate04, WaraiA
1026809, sudachi05, IkariA
1026810, sudachi04, KomariA
1026811, sudachi01, KanasiA
1026812, kuchiate04, FutuA
1026813, idle01, FutuA
1026814, mot02, FutuA
1026815, kuchiate04, FutuA
1026816, muneate02, FutuA
1026817, tekumi02, WaraiA
1026818, think06, FutuA


1027000, joy06, WaraiA
1027001, fight06, WaraiC
1027002, udekumi01, IkariA
1027003, koshiate09, IkariC
1027004, muneate02, KanasiA
1027005, tekumi04, KanasiC
1027006, ikaku04, DoyaA
1027007, koshiate02, WaraiA
1027008, think09, KomariA
1027009, udekumi06, KomariC
1027010, koshiate03, KusyoAL
1027011, udekumi02, KusyoAL
1027012, pose11, KusyoAL
1027013, shy06, WaraiA
1027014, surprise05, OdorokiA
1027015, guard04, KomariC
1027016, gatts04, DoyaA
1027017, stretch09, WaraiA
1027018, koshiate03, FutuA
1027019, koshiate01, KanasiA
1027020, hello04, WaraiA
1027021, yell01, WaraiA
1027022, bow02, WaraiA
1027023, idea01, WaraiA
1027024, joy06, WaraiC
1027025, fight06, WaraiA
1027026, koshiate09, IkariA
1027027, udekumi02, IkariA
1027028, muneate02, KanasiA
1027029, tekumi04, KanasiA
1027030, good01, WaraiC
1027031, koshiate02, WaraiA
1027032, koshiate03, FutuA
1027033, think09, KomariA
1027034, udekumi02, KomariA
1027035, pose11, KusyoAL
1027036, shy06, KusyoAL
1027037, surprise05, OdorokiA
1027038, guard04, OdorokiA
1027039, soppo11, KomariA
1027040, shock04, KomariA
1027041, fight02, DoyaA
1027042, muscle02, WaraiA
1027800, mot03, KomariC
1027801, koshiate03, WaraiA
1027802, think09, FutuA
1027803, pose11, DereA
1027804, koshiate03, WaraiC
1027805, sudachi02, WaraiA
1027806, fight06, OdorokiC
1027807, guard04, KanasiA
1027808, idle01, WaraiA
1027809, yell01, WaraiC
1027810, tekumi04_mirror, KomariC
1027811, koshiate09_mirror, IkariC
1027812, think09, KomariA
1027813, shy06, WaraiA
1027814, gatts04, DoyaA
1027815, mot03, KomariC
1027816, tekumi04_mirror, KomariC
1027817, koshiate09_mirror, IkariC
1027818, hello04, WaraiC


1028000, koshiate10, DoyaA
1028001, laugh04, WaraiC
1028002, fight06, IkariA
1028003, soppo07, IkariC
1028004, tekumi03, KomariA
1028005, sad02, KanasiA
1028006, fight07, DoyaA
1028007, joy05, WaraiC
1028008, think09, KomariA
1028009, think06, KanasiA
1028010, tekumi04, KusyoAL
1028011, soppo06, KusyoAL
1028012, shy07, KusyoAL
1028013, guard04, KomariC
1028014, surprise05, OdorokiA
1028015, surprise01, OdorokiC
1028016, pose08, WaraiC
1028017, handsup01, WaraiA
1028018, kuchiate04, KusyoAL
1028019, bow06, WaraiC
1028020, byebye08, WaraiA
1028021, hope08, WaraiA
1028022, idea01, WaraiC
1028800, fight11, WaraiA
1028801, koshiate10, WaraiA
1028802, mot03_mirror, WaraiC
1028803, think09, FutuA
1028804, think03, WaraiA
1028805, happy04, WaraiC
1028806, sad02, KanasiA
1028807, homestand12, DoyaA
1028808, oh11, DoyaA


1029000, hope01, DereA
1029001, joy01, WaraiC
1029002, muneate03, IkariA
1029003, fight11, IkariC
1029004, tired03, KanasiA
1029005, tekumi03, KanasiC
1029006, muneate02, WaraiA
1029007, laugh03, WaraiC
1029008, think03, KomariA
1029009, shock08, KomariC
1029010, shy01, KusyoAL
1029011, kuchiate04, KusyoAL
1029012, shy06, KusyoAL
1029013, shy07, KomariC
1029014, surprise09, OdorokiA
1029015, surprise04, KomariC
1029016, near07, IkariA
1029017, fight08, DoyaA
1029018, bow03, WaraiC
1029019, yell01, WaraiA
1029020, surprise10, KomariC
1029021, idea02, WaraiC
1029022, idea02, WaraiA
1029023, fight01, WaraiC
1029024, soppo06, IkariA
1029025, fight06, IkariA
1029026, sad02, KanasiA
1029027, muneate10, KanasiA
1029028, fight11, WaraiA
1029029, joy01, WaraiA
1029030, think09, KomariA
1029031, shy01, KomariA
1029032, shy06, KusyoAL
1029033, shy02, KusyoAL
1029034, surprise10, OdorokiA
1029035, surprise06, KomariC
1029036, kuchiate04, KomariA
1029037, near08, JitomeA


1030000, fight01, WaraiA
1030001, hope06, WaraiC
1030002, fight01, IkariA
1030003, hope04, IkariA
1030004, muneate10, KomariC
1030005, tekumi03, KanasiA
1030006, tired03, WaraiA
1030007, laugh02, WaraiC
1030008, kuchiate04, KomariA
1030009, muneate04, KomariC
1030010, kuchiate04, KusyoAL
1030011, shy07, KusyoAL
1030012, shy01, KusyoAL
1030013, shy03, KomariC
1030014, guard03, OdorokiA
1030015, surprise10, KomariC
1030016, cry03_mirror, KanasiC
1030017, fight01, KanasiA
1030018, tekumi01, WaraiA
1030019, tekumi01, KomariA
1030020, tekumi05, KomariA
1030021, byebye11, WaraiA
1030022, bow03, KanasiA
1030023, guard02, KomariC
1030024, hope03, WaraiC
1030800, happy03, WaraiA
1030801, shake02, KanasiA
1030802, kuchiate04, OdorokiA
1030803, kuchiate04, WaraiA
1030804, fight01, Base
1030805, hope06, KomariC
1030806, sleep02, KanasiC
1030807, hope06, WaraiA
1030808, shy03, WaraiA
1030809, shy01, DereA
1030810, guard03, OdorokiC
1030811, surprise10, KanasiC
1030812, fight01, KomariA
1030813, laugh02, DereA
1030814, tired03, WaraiC
1030815, tekumi03, KomariA
1030816, muneate04, KanasiA
1030817, hope06, WaraiC
1030818, hope04, IkariA
1030819, muneate10, KomariC
1030820, tekumi03, KanasiA
1030821, shy07, KusyoAL
1030822, shy03, KomariC
1030823, kuchiate04, OdorokiA
1030824, kuchiate04, WaraiA
1030825, hope06, KomariC
1030826, sleep02, DereA
1030827, tired03, WaraiC
1030828, kuchiate04, FutuA
1030829, tired03, DereA


1031000, gatts04, WaraiA
1031001, gatts06, DoyaA
1031002, koshiate10, IkariA
1031003, fight04, IkariC
1031004, soppo06, KanasiA
1031005, hope04, IkariA
1031006, tekumi06, WaraiA
1031007, idea01, WaraiC
1031008, think03, KomariA
1031009, soppo11, KomariA
1031010, soppo06, KusyoAL
1031011, udekumi02, KusyoAL
1031012, shy05, DereA
1031013, hello05, KusyoAL
1031014, surprise05, KomariC
1031015, surprise04, OdorokiC
1031016, advice04, WaraiA
1031017, gatts04, WaraiA
1031018, koshiate03, WaraiA
1031019, byebye08, WaraiC
1031020, near02, WaraiC
1031021, idea02, WaraiC
1031022, muneate09, DereA
1031024, joy06, WaraiA
1031025, salute02, WaraiC
1031026, koshiate10, IkariA
1031027, ng02, IkariA
1031028, udekumi03, KomariA
1031029, soppo06, KanasiA
1031030, muneate09, WaraiA
1031031, gatts07, WaraiA
1031032, koshiate01, WaraiA
1031033, think09, OdorokiA
1031034, soppo11, KomariA
1031035, shy02, DereA
1031036, hello05, KusyoAL
1031037, surprise05, OdorokiA
1031038, surprise10, OdorokiA
1031039, akire02, KusyoAL
1031040, think03, KomariA


1032000, neckup02, DoyaA
1032001, think08, FutuA
1032002, udekumi01, IkariA
1032003, koshiate03, JitomeA
1032004, pain06, KomariC
1032005, shock04, IkariA
1032006, near06, DoyaA
1032007, laugh06, WaraiC
1032008, think09, OdorokiA
1032009, think08, KomariA
1032010, udekumi02, DereA
1032011, koshiate01, KomariA
1032012, think05, KusyoAL
1032013, soppo10, KomariA
1032014, surprise05, OdorokiA
1032015, clap04, DereA
1032016, think01, WaraiA
1032017, koshiate04, WaraiA
1032018, akire03, JitomeA
1032019, koshiate03, WaraiA
1032020, point04, WaraiA
1032021, advice02, DoyaA
1032022, hope03, WaraiA
1032023, neckup01, WaraiA
1032024, idea03, DoyaA
1032025, udekumi05, IkariA
1032026, koshiate01, JitomeA
1032027, udekumi04, KanasiC
1032028, shock04, KomariC
1032029, near06, DoyaA
1032030, tekumi06, WaraiC
1032031, think05, KomariA
1032032, think09, DereA
1032033, udekumi02, KusyoAL
1032034, koshiate01, KusyoAL
1032035, soppo12, DereA
1032036, think06, KusyoAL
1032037, surprise10, KomariA
1032038, guard04, OdorokiC
1032039, think02, JitomeA
1032040, akire06, DereA
1032800, sleep05, KomariC
1032801, sneeze01, KomariC
1032802, think09, KomariA
1032803, point04_mirror, WaraiA
1032804, think05, WaraiA
1032805, koshiate01, DoyaA
1032806, think08, WaraiC
1032807, shock04, IkariC
1032808, advice02, WaraiA
1032809, neckup02, DoyaA
1032810, pain06, KomariC
1032811, think09, OdorokiA
1032812, think08, KomariA
1032813, udekumi02, DereA
1032814, think01, WaraiA
1032815, sleep05, KomariC
1032816, think09, KomariA


1033000, tekumi06, WaraiA
1033001, gatts03, DoyaA
1033002, soppo10, IkariA
1033003, koshiate01, IkariC
1033004, think02, KanasiA
1033005, muneate01, IkariA
1033006, koshiate03, WaraiA
1033007, kuchiate04, WaraiC
1033008, soppo12, KanasiA
1033009, think06, KomariA
1033010, think05, KusyoAL
1033011, muneate05, KusyoAL
1033012, tekumi04, KomariA
1033013, tekumi06, KusyoAL
1033014, guard03, KomariA
1033015, surprise05, OdorokiA
1033016, udekumi02, FutuA
1033017, tekumi01, KanasiA
1033018, bow05, FutuA
1033019, udekumi02, IkariA
1033020, muneate05, IkariA
1033021, hope03, WaraiA
1033800, koshiate01, FutuA
1033801, koshiate03, FutuA
1033802, soppo10, KomariA
1033803, koshiate03, FutuA
1033804, soppo12, KomariA
1033805, tekumi01, FutuA
1033806, koshiate03, IkariA
1033807, muneate05, FutuA
1033808, tekumi06, FutuA
1033809, koshiate01, FutuA
1033810, think02, IkariA
1033811, koshiate01, IkariA
1033812, muneate01, WaraiA
1033813, sad02, IkariA
1033814, udekumi02, KomariA
1033815, think06, FutuA
1033816, pain05_mirror, KanasiA
1033817, tekumi06, WaraiA
1033818, think13, KomariA
1033819, near10, KomariA
1033820, mot01, FutuA
1033821, soppo10, FutuA
1033822, soppo10, IkariA
1033823, tekumi06, FutuA
1033824, tekumi06, IkariA
1033825, think06, WaraiA
1033826, udekumi02, KomariA
1033827, mot01, IkariA
1033828, muneate05_mirror, IkariA
1033829, pdk01, OutGameWaraiB


1034000, fight02, WaraiA
1034001, oh08, DoyaA
1034002, udekumi01, IkariA
1034003, gatts06, IkariC
1034004, think07, KomariA
1034005, shock06, IkariA
1034006, koshiate10, DoyaA
1034007, koshiate04, WaraiC
1034008, udekumi06, KanasiA
1034009, shock07, KomariC
1034010, shy05, KusyoAL
1034011, pose11, KusyoCL
1034012, shy02, KusyoAL
1034013, surprise10, KomariC
1034014, surprise06, OdorokiA
1034015, surprise05, OdorokiC
1034016, near06, DoyaA
1034017, angry03, IkariC
1034018, udekumi05, WaraiA
1034019, shock04, JitomeA
1034020, handsup01, WaraiA
1034021, muneate08, DoyaA
1034022, hope02, KomariC
1034023, idea01, WaraiC
1034024, good01, WaraiC
1034025, gatts04, DoyaA
1034026, angry03, IkariA
1034027, stop01, IkariA
1034028, shock02, KomariA
1034029, shock07, KanasiA
1034030, ikaku01, WaraiC
1034031, koshiate10, WaraiA
1034032, udekumi05, FutuA
1034033, think09, KomariA
1034034, soppo11, KomariA
1034035, shy06, KusyoAL
1034036, ng03, KusyoAL
1034037, surprise06, OdorokiC
1034038, surprise05, OdorokiC
1034039, think07, JitomeA
1034040, tired02, IkariA


1035000, joy06, DoyaA
1035001, fight03, WaraiC
1035002, fight04, IkariA
1035003, angry02, IkariC
1035004, muneate03, KanasiA
1035005, shock02, KanasiC
1035006, laugh06, WaraiC
1035007, fight06, DoyaA
1035008, think09, KomariA
1035009, shock07, KomariC
1035010, pose11, KusyoAL
1035011, guard04, KusyoCL
1035012, shy06, WaraiC
1035013, shy02, KusyoAL
1035014, surprise06, OdorokiC
1035015, shock01, KomariC
1035016, cry04, KanasiC
1035017, joy05, WaraiC
1035018, fight01, DoyaA
1035019, akire05, KusyoAL
1035020, byebye07, WaraiA
1035021, fight07, WaraiC
1035022, bow02, WaraiC
1035023, hope03, WaraiC
1035024, oh10, DoyaA
1035025, joy06, DoyaA
1035026, angry02, IkariC
1035027, surprise10, IkariA
1035028, shock02, KanasiA
1035029, muneate03, KanasiC
1035030, ikaku04, WaraiA
1035031, fight06, DoyaA
1035032, fight01, FutuA
1035033, think09, KomariA
1035034, shock07, KomariC
1035035, shy02, WaraiC
1035036, shy06, WaraiC
1035037, surprise06, OdorokiC
1035038, shock01, OdorokiC
1035039, akire04, KomariA
1035040, shock05, KusyoCL
1035041, cry04, KanasiC
1035800, fight06, WaraiA
1035801, fight01, WaraiA
1035802, fight06, KomariC
1035803, fight01, WaraiC
1035804, shy02, KusyoAL
1035805, guard04, KomariC
1035806, sleep04, KomariC
1035807, pose11, DereA
1035808, joy05, OdorokiC
1035809, angry02_mirror, KomariC
1035810, fight06, WaraiC
1035811, surprise06, KanasiA
1035812, shock02, KanasiC
1035813, think09, KomariA
1035814, shock07, KomariC
1035815, shy06_mirror, WaraiC
1035816, shock01, KomariC
1035817, cry04, KanasiC
1035818, joy05, WaraiC
1035819, sleep04, KomariC
1035820, pose11, DereA
1035821, joy05, OdorokiC
1035822, angry02_mirror, KomariC


1036000, koshiate09, WaraiA
1036001, gatts03, DoyaA
1036002, neckup03, IkariA
1036003, ikaku03, IkariC
1036004, tired02, KanasiA
1036005, soppo11, KomariA
1036006, udekumi01, DoyaA
1036007, koshiate06, WaraiC
1036008, think06, IkariA
1036009, think10, IkariA
1036010, udekumi02, KomariA
1036011, pose11, WaraiA
1036012, soppo02, KomariA
1036013, akire03, IkariA
1036014, koshiate03, OdorokiA
1036015, surprise05, OdorokiA
1036016, pose11, IkariA
1036017, udekumi01, KomariA
1036018, koshiate04, FutuA
1036019, akire02, IkariA
1036020, point04, DoyaA
1036021, pain06, IkariA
1036022, advice02, IkariA
1036023, ikaku01, IkariA
1036800, think06, IkariA
1036801, advice02, DoyaA
1036802, think06, DoyaA


1037000, muneate03, WaraiA
1037001, laugh03, WaraiC
1037002, tekumi01, IkariA
1037003, udekumi02, IkariC
1037004, sad02, KanasiA
1037005, soppo08, KomariA
1037006, fight01, WaraiA
1037007, tekumi06, DereA
1037008, think06, IkariA
1037009, think09, KomariA
1037010, kuchiate04, KusyoAL
1037011, tekumi04, KusyoAL
1037012, think08, WaraiA
1037013, tired03, DereA
1037014, surprise03, OdorokiC
1037015, guard03, KomariC
1037016, tekumi02, FutuA
1037017, advice03, FutuA
1037018, soppo12, KomariA
1037019, bow03, WaraiC
1037020, yell01, WaraiA
1037021, muneate04, IkariA
1037022, hope03, WaraiC
1037800, muneate05, WaraiA
1037801, mot01, KomariA
1037802, muneate03_mirror, WaraiA
1037803, fight01, IkariA
1037804, kuchiate04, WaraiC
1037805, tired03, WaraiC
1037806, think06, KomariA
1037807, tired03, DereA
1037808, think09, FutuA
1037809, kuchiate04, WaraiA
1037810, tekumi06, KusyoAL
1037811, tekumi06, WaraiA


1038000, fight11, DoyaA
1038001, fight05, WaraiC
1038002, soppo01, IkariA
1038003, near02, IkariC
1038004, tekumi05, KanasiA
1038005, muneate10, KanasiC
1038006, happy04, WaraiA
1038007, pose08, WaraiC
1038008, think03, KomariA
1038009, shock08, KomariC
1038010, shy03, KusyoAL
1038011, kuchiate04, KusyoAL
1038012, tekumi04, DereA
1038013, hope06, WaraiC
1038014, surprise01, OdorokiA
1038015, guard03, KomariC
1038016, quiet02, DereA
1038017, cry08, KanasiC
1038018, swing02, FutuA
1038019, near01, KomariA
1038020, hello05, WaraiC
1038021, come04, WaraiA
1038022, hope08, WaraiC
1038023, request02, KomariA
1038800, guard03_mirror, KanasiC
1038801, tekumi05_mirror, KanasiA
1038802, happy04, WaraiC
1038803, kuchiate04_mirror, WaraiC
1038804, fight11, WaraiA
1038805, fight05, WaraiC
1038806, near02_mirror, IkariC
1038807, muneate10, KanasiC
1038808, surprise01_mirror, OdorokiA
1038809, fight11, WaraiA
1038810, muneate10, IkariA
1038811, sleep05, KomariC
1038812, happy04, WaraiC


1039000, happy04, WaraiC
1039001, gatts04, DoyaA
1039002, muneate01, IkariA
1039003, soppo01, IkariC
1039004, tekumi01, KomariA
1039005, shock02, KomariC
1039006, pose12, DereA
1039007, fight04, WaraiA
1039008, think04, KomariA
1039009, shock01, KomariC
1039010, think05, KusyoAL
1039011, koshiate02, KusyoAL
1039012, shy03, DereA
1039013, guard02, KomariC
1039014, surprise09, OdorokiA
1039015, surprise02, OdorokiC
1039016, laugh08, WaraiC
1039017, fight12, WaraiC
1039018, udekumi01, WaraiA
1039019, akire06, KomariA
1039020, byebye09, WaraiA
1039021, come03, WaraiA
1039022, hope07, DereA
1039023, idea02, WaraiC
1039800, fight04, DoyaA
1039801, oh05, WaraiC
1039802, idea02, WaraiA
1039803, muneate02, WaraiA
1039804, oh05, WaraiA
1039805, think04, WaraiA
1039806, tired02, KomariA
1039807, oh06_mirror, DoyaA
1039808, pain01, KomariA
1039809, fight04, IkariC
1039810, tired02, JitomeA
1039811, joy06, WaraiC
1039812, koshiate02, DoyaA
1039813, cry04, KanasiC
1039814, fight06, IkariA
1039815, joy06_mirror, DoyaA
1039816, think04, KanasiA
1039817, udekumi01, WaraiA
1039818, udekumi01, DoyaA
1039819, sleep03, KomariC


1040000, udekumi01, WaraiA
1040001, gatts03, DoyaA
1040002, neckup01, IkariA
1040003, fight04, IkariA
1040004, akire04, KomariA
1040005, soppo12, KanasiA
1040006, koshiate03, WaraiA
1040007, udekumi02, WaraiC
1040008, think08, KomariA
1040009, think02, KanasiA
1040010, soppo12, KusyoAL
1040011, tekumi06, KusyoAL
1040012, soppo11, KomariA
1040013, soppo10, KusyoAL
1040014, surprise05, KomariA
1040015, surprise02, OdorokiC
1040016, advice02, FutuA
1040017, akire03, IkariA
1040018, udekumi02, FutuA
1040019, akire06, JitomeA
1040020, handsup02, WaraiA
1040021, yell01, WaraiA
1040022, hope03, WaraiC
1040023, homestand06, WaraiA
1040800, mot01, WaraiC
1040801, sleep05, KomariA
1040802, akire03, FutuA
1040803, koshiate03, KomariA
1040804, fight04, WaraiA
